Organ,Organ_Condition,Image URL
Human Body,Healthy,https://drive.google.com/file/d/1KOQB5SHJjxucn7LgaO0YD3NpG7WJxEtV/view?usp=drive_link
Human Body,Damaged,https://drive.google.com/file/d/1NzRJ-xzBB4SLbJL_TK7KKH53BykSGr7H/view?usp=drive_link
Heart,Healthy,https://drive.google.com/file/d/1NGhRiLUunYjNyMhjIwD9GCG8X750ptkT/view?usp=drive_link
Heart,Damaged,https://drive.google.com/file/d/15RFwY8BNGGALLu148KXCF584Ady6uX-D/view?usp=drive_link
Lungs,Healthy,https://drive.google.com/file/d/1VNQmWqe9R-2CjTT4QVZIgMD7d1VxnQme/view?usp=drive_link
Lungs,Damaged,https://drive.google.com/file/d/1obaPmpuanExoBoe1iQFeJH0iKWQWxV93/view?usp=drive_link
Kidney,Healthy,https://drive.google.com/file/d/1zYfkwnZDkaUdZQcH7bHlYmhpWFY3-TMG/view?usp=drive_link
Kidney,Damaged,https://drive.google.com/file/d/1AHbFkx6HU3IJNzc9EEVGbWDzEeLN-2c6/view?usp=drive_link
Liver,Healthy,https://drive.google.com/file/d/1k8rP8NfL7OCRhIM6i9ZEITOcqgvt5g9_/view?usp=drive_link
Liver,Damaged,https://drive.google.com/file/d/1FincO9ixmkh1H0Rl3ShxhOxMI5rprTfP/view?usp=drive_link
